DSPT_REQ_HR,CTPV_NM,SGG_NM,FRSTN_GRNDS_DSTNC,CNTR_GRNDS_DSTNC,LFDAU_GRNDS_DSTNC,FCLT_PLC_SCLSF_NM,FND_FIRE_SE_NM,FND_IGTN_PSTN_NM,HR_UNIT_ARTMP,HR_UNIT_WSPD_INFO,WNDRCT_BRNG,HR_UNIT_HUM,golden_time_under_50min,arrival_time_diff,is_night,month_rcpt,dispatch_time_diff,FIRE_SUPESN_HR_log,DSPT_REQ_HR_log,FRSTN_GRNDS_DSTNC_log,CNTR_GRNDS_DSTNC_log,LFDAU_GRNDS_DSTNC_log,arrival_time_diff_log,dispatch_time_diff_log
911,1,115,16,16,-1.0,2,2,1,-1.1,6.5,8,25.0,1,1012.0,0,1,101.0,6.295266001439646,6.815639990074331,2.833213344056216,2.833213344056216,-inf,6.920671504248683,4.624972813284271
295,15,92,17,5,-1.0,2,2,3,23.1,2.0,4,57.0,1,338.0,1,7,43.0,7.917900586327916,5.69035945432406,2.8903717578961645,1.791759469228055,-inf,5.82600010738045,3.784189633918261
238,1,29,13,3,-1.0,2,2,1,15.6,2.0,8,21.0,1,293.0,0,4,55.0,6.769641976852503,5.476463551931511,2.6390573296152584,1.3862943611198906,-inf,5.683579767338681,4.02535169073515
1403,1,159,12,9,-1.0,2,2,3,28.7,2.0,2,48.0,1,1533.0,0,7,130.0,9.126415137038421,7.247080584585756,2.5649493574615367,2.302585092994046,-inf,7.335633981927201,4.875197323201151
1531,12,108,8,16,-1.0,2,2,2,4.0,2.0,7,36.0,1,1631.0,1,4,100.0,8.328692583545568,7.3343293503005365,2.1972245773362196,2.833213344056216,-inf,7.397561535524052,4.61512051684126
601,1,160,12,4,-1.0,2,2,1,3.1,2.0,5,0.0,1,722.0,0,2,121.0,4.795790545596741,6.400257445308821,2.5649493574615367,1.6094379124341003,-inf,6.583409222158765,4.804021044733257
140,3,149,99,2,28.0,1,1,3,26.8,2.0,3,53.0,1,175.0,0,8,35.0,8.778171881033469,4.948759890378168,4.605170185988092,1.0986122886681098,3.367295829986474,5.170483995038151,3.58351893845611
420,15,200,14,6,-1.0,2,2,1,20.5,2.0,7,60.0,1,441.0,0,5,21.0,7.528869256642251,6.042632833682381,2.70805020110221,1.9459101490553132,-inf,6.091309882077698,3.091042453358316
344,1,148,14,2,-1.0,2,2,3,-1.0,2.0,6,50.0,1,428.0,0,1,84.0,8.513185170018698,5.84354441703136,2.70805020110221,1.0986122886681098,-inf,6.061456918928017,4.442651256490317
931,3,37,26,7,-1.0,2,2,1,16.9,2.0,6,31.0,1,952.0,0,10,21.0,8.080856419640986,6.837332814685591,3.295836866004329,2.0794415416798357,-inf,6.859614903654202,3.091042453358316
440,0,217,8,8,-1.0,1,1,3,1.4,2.0,7,32.0,1,440.0,0,12,0.0,7.423568444259167,6.089044875446846,2.1972245773362196,2.1972245773362196,-inf,6.089044875446846,0.0
811,1,218,30,4,-1.0,0,0,1,23.0,-1.0,0,58.0,1,866.0,0,6,55.0,9.020026965252676,6.699500340161678,3.4339872044851463,1.6094379124341003,-inf,6.7650389767805414,4.02535169073515
864,3,130,11,7,-1.0,2,2,3,23.4,2.0,5,49.0,1,864.0,0,10,0.0,8.932212512329214,6.762729506931879,2.4849066497880004,2.0794415416798357,-inf,6.762729506931879,0.0
954,0,135,8,8,5.0,1,1,1,25.3,2.0,8,21.0,1,1005.0,0,5,51.0,8.45553053102413,6.86171134048073,2.1972245773362196,2.1972245773362196,1.791759469228055,6.913737350659685,3.9512437185814275
